city,model,track,n_train,n_test,n_feats,r2,mae,rmse,train_time_s,inference_time_s,train_rows,n_features,epochs,status,n_rows,horizon
Vapi,GradBoost,B,40798.0,8744.0,70.0,0.5239,35.75,52.92,107.84,0.0201,,,,,,1.0
Vapi,GradBoost,B,40795.0,8743.0,70.0,0.424,42.58,58.21,107.72,0.0184,,,,,,6.0
Vapi,GradBoost,B,40782.0,8740.0,70.0,0.2877,46.69,64.74,107.51,0.0185,,,,,,24.0
bhopal,GradBoost,B,30459.0,6528.0,72.0,0.8192,20.61,33.45,87.79,0.0156,,,,,,1.0
bhopal,GradBoost,B,30456.0,6527.0,72.0,0.6695,29.55,45.23,87.85,0.0148,,,,,,6.0
bhopal,GradBoost,B,30443.0,6525.0,72.0,0.6144,32.25,48.86,87.59,0.0147,,,,,,24.0
vishakhapattanam,GradBoost,B,24229.0,5193.0,72.0,0.7719,25.25,40.84,68.01,0.0133,,,,,,1.0
vishakhapattanam,GradBoost,B,24225.0,5192.0,72.0,0.6039,34.71,53.83,68.05,0.0121,,,,,,6.0
vishakhapattanam,GradBoost,B,24213.0,5189.0,72.0,0.5276,38.94,58.8,67.99,0.0123,,,,,,24.0
Ahmedabad,XGBoost,B,19764.0,4236.0,70.0,0.7179,26.98,41.36,4.53,0.0629,,,,,,1.0
Ahmedabad,XGBoost,B,19761.0,4235.0,70.0,0.5112,37.54,54.44,4.52,0.0128,,,,,,6.0
Ahmedabad,XGBoost,B,19748.0,4233.0,70.0,0.3803,44.8,61.31,4.74,0.0639,,,,,,24.0
Chennai,XGBoost,B,30881.0,6618.0,71.0,0.5255,10.84,23.8,4.7,0.0694,,,,,,1.0
Chennai,XGBoost,B,30877.0,6618.0,71.0,0.2997,13.83,28.92,4.81,0.0681,,,,,,6.0
Chennai,XGBoost,B,30865.0,6615.0,71.0,0.2147,14.81,30.62,4.91,0.0672,,,,,,24.0
Delhi_NCR,XGBoost,B,54392.0,11656.0,72.0,0.903,27.04,39.17,5.27,0.0755,,,,,,1.0
Delhi_NCR,XGBoost,B,54388.0,11656.0,72.0,0.7947,41.9,56.99,5.21,0.0761,,,,,,6.0
Delhi_NCR,XGBoost,B,54376.0,11652.0,72.0,0.7245,48.42,66.03,5.2,0.0769,,,,,,24.0
GandhiNagar,XGBoost,B,41041.0,8796.0,70.0,0.6399,15.68,24.91,5.56,0.0212,,,,,,1.0
GandhiNagar,XGBoost,B,41038.0,8795.0,70.0,0.4097,21.9,31.89,5.77,0.0207,,,,,,6.0
GandhiNagar,XGBoost,B,41025.0,8792.0,70.0,0.3564,22.72,33.3,5.6,0.0706,,,,,,24.0
Hyderabad,XGBoost,B,76994.0,16500.0,72.0,0.6351,16.81,22.81,6.11,0.084,,,,,,1.0
Hyderabad,XGBoost,B,76990.0,16499.0,72.0,0.4229,22.48,28.67,6.5,0.0338,,,,,,6.0
Hyderabad,XGBoost,B,76978.0,16496.0,72.0,0.3662,23.6,30.04,6.02,0.0838,,,,,,24.0
Indore,XGBoost,B,30543.0,6546.0,72.0,0.8204,18.39,29.64,5.49,0.0666,,,,,,1.0
Indore,XGBoost,B,30540.0,6545.0,72.0,0.6102,27.02,43.67,5.51,0.0676,,,,,,6.0
Indore,XGBoost,B,30527.0,6543.0,72.0,0.5323,29.91,47.83,5.4,0.0169,,,,,,24.0
Jaipur,XGBoost,B,29624.0,6349.0,71.0,0.5722,27.0,40.22,5.75,0.0168,,,,,,1.0
Jaipur,XGBoost,B,29621.0,6348.0,71.0,0.2811,33.05,52.14,5.77,0.0165,,,,,,6.0
Jaipur,XGBoost,B,29608.0,6346.0,71.0,-0.0369,43.86,62.62,5.8,0.0168,,,,,,24.0
Jodhpur,XGBoost,B,30329.0,6500.0,71.0,0.2664,60.03,77.86,5.16,0.0172,,,,,,1.0
Jodhpur,XGBoost,B,30326.0,6499.0,71.0,0.2816,53.87,77.06,5.27,0.0168,,,,,,6.0
Jodhpur,XGBoost,B,30313.0,6497.0,71.0,0.1166,68.96,85.47,5.24,0.1832,,,,,,24.0
Mumbai,XGBoost,B,38082.0,8162.0,72.0,0.5833,25.33,40.0,5.3,0.0196,,,,,,1.0
Mumbai,XGBoost,B,38079.0,8161.0,72.0,0.2646,34.77,53.14,5.42,0.0777,,,,,,6.0
Mumbai,XGBoost,B,38066.0,8158.0,72.0,-0.0088,43.41,62.24,5.39,0.0196,,,,,,24.0
Mumbai_suburbs,XGBoost,B,15136.0,3245.0,71.0,0.8484,11.87,18.98,4.59,0.0111,,,,,,1.0
Mumbai_suburbs,XGBoost,B,15133.0,3244.0,71.0,0.6525,21.17,28.74,4.57,0.0129,,,,,,6.0
Mumbai_suburbs,XGBoost,B,15120.0,3241.0,71.0,0.4184,27.78,37.17,4.59,0.011,,,,,,24.0
Nagpur,XGBoost,B,56489.0,12106.0,70.0,0.8679,15.57,23.88,6.25,0.0765,,,,,,1.0
Nagpur,XGBoost,B,56485.0,12105.0,70.0,0.7075,24.05,35.53,6.66,0.0262,,,,,,6.0
Nagpur,XGBoost,B,56473.0,12102.0,70.0,0.6414,27.62,39.35,6.27,0.0263,,,,,,24.0
Pune,XGBoost,B,49325.0,10571.0,64.0,0.4534,37.4,60.79,4.9,0.0236,,,,,,1.0
Pune,XGBoost,B,49322.0,10569.0,64.0,0.1714,50.92,74.86,5.0,0.0738,,,,,,6.0
Pune,XGBoost,B,49309.0,10567.0,64.0,0.2378,48.89,71.8,5.11,0.0736,,,,,,24.0
Singrauli,XGBoost,B,48653.0,10427.0,64.0,0.6852,40.37,60.49,5.76,0.0229,,,,,,1.0
Singrauli,XGBoost,B,48650.0,10425.0,64.0,0.5109,55.11,75.4,5.63,0.0731,,,,,,6.0
Singrauli,XGBoost,B,48637.0,10423.0,64.0,0.4107,60.36,82.77,5.71,0.073,,,,,,24.0
Surat,XGBoost,B,18302.0,3923.0,58.0,0.3795,38.09,70.36,3.46,0.0116,,,,,,1.0
Surat,XGBoost,B,18298.0,3922.0,58.0,0.178,46.29,80.98,3.38,0.0116,,,,,,6.0
Surat,XGBoost,B,18286.0,3919.0,58.0,0.1458,50.35,82.58,3.48,0.0116,,,,,,24.0
Thane,XGBoost,B,14363.0,3079.0,71.0,0.8408,11.86,19.06,4.69,0.0611,,,,,,1.0
Thane,XGBoost,B,14360.0,3078.0,71.0,0.6349,20.8,28.85,4.8,0.0113,,,,,,6.0
Thane,XGBoost,B,14347.0,3076.0,71.0,0.3827,26.85,37.51,4.51,0.061,,,,,,24.0
Vapi,XGBoost,B,40798.0,8744.0,70.0,0.531,35.47,52.53,4.82,0.0211,,,,,,1.0
Vapi,XGBoost,B,40795.0,8743.0,70.0,0.4345,41.38,57.68,4.78,0.0205,,,,,,6.0
Vapi,XGBoost,B,40782.0,8740.0,70.0,0.1885,50.25,69.1,4.81,0.0211,,,,,,24.0
bhopal,XGBoost,B,30459.0,6528.0,72.0,0.8204,20.47,33.34,5.48,0.0671,,,,,,1.0
bhopal,XGBoost,B,30456.0,6527.0,72.0,0.6688,29.72,45.28,5.39,0.0168,,,,,,6.0
bhopal,XGBoost,B,30443.0,6525.0,72.0,0.6095,32.96,49.17,5.4,0.0167,,,,,,24.0
vishakhapattanam,XGBoost,B,24229.0,5193.0,72.0,0.7686,25.5,41.14,5.09,0.0149,,,,,,1.0
vishakhapattanam,XGBoost,B,24225.0,5192.0,72.0,0.5879,35.06,54.91,5.14,0.0646,,,,,,6.0
vishakhapattanam,XGBoost,B,24213.0,5189.0,72.0,0.5111,39.34,59.81,5.28,0.0147,,,,,,24.0
Ahmedabad,LSTM,B,19740.0,4212.0,70.0,0.5834,32.52,50.34,66.06,0.8721,,,,,,1.0
Ahmedabad,LSTM,B,19737.0,4211.0,70.0,0.5623,35.78,51.6,27.56,0.8376,,,,,,6.0
Ahmedabad,LSTM,B,19724.0,4209.0,70.0,0.4929,38.0,55.55,22.92,0.8369,,,,,,24.0
Chennai,LSTM,B,30857.0,6594.0,71.0,0.3147,17.8,28.62,62.24,1.1146,,,,,,1.0
Chennai,LSTM,B,30853.0,6594.0,71.0,0.2287,16.88,30.37,76.47,1.1203,,,,,,6.0
Chennai,LSTM,B,30841.0,6591.0,71.0,0.1019,18.03,32.77,62.51,1.1158,,,,,,24.0
Delhi_NCR,LSTM,B,54368.0,11632.0,72.0,0.8575,34.4,47.48,150.91,1.6543,,,,,,1.0
Delhi_NCR,LSTM,B,54364.0,11632.0,72.0,0.7771,45.13,59.37,119.97,1.6767,,,,,,6.0
Delhi_NCR,LSTM,B,54352.0,11628.0,72.0,0.7181,50.61,66.77,89.01,1.6805,,,,,,24.0
GandhiNagar,LSTM,B,41017.0,8772.0,70.0,0.5754,17.9,27.06,150.86,1.364,,,,,,1.0
GandhiNagar,LSTM,B,41014.0,8771.0,70.0,0.3597,23.12,33.23,90.44,1.3695,,,,,,6.0
GandhiNagar,LSTM,B,41001.0,8768.0,70.0,0.2893,24.78,35.01,67.41,1.1583,,,,,,24.0
Hyderabad,LSTM,B,76970.0,16476.0,72.0,0.4126,21.75,28.89,184.57,2.1669,,,,,,1.0
Hyderabad,LSTM,B,76966.0,16475.0,72.0,0.309,23.91,31.34,132.91,2.1499,,,,,,6.0
Hyderabad,LSTM,B,76954.0,16472.0,72.0,0.1189,26.39,35.39,288.94,2.1525,,,,,,24.0
Indore,LSTM,B,30519.0,6522.0,72.0,0.6938,24.43,38.75,93.1,1.1112,,,,,,1.0
Indore,LSTM,B,30516.0,6521.0,72.0,0.5628,28.2,46.3,65.53,1.1057,,,,,,6.0
Indore,LSTM,B,30503.0,6519.0,72.0,0.4918,31.23,49.93,41.42,1.1185,,,,,,24.0
Jaipur,LSTM,B,29600.0,6325.0,71.0,0.4619,28.72,45.18,103.75,1.09,,,,,,1.0
Jaipur,LSTM,B,29597.0,6324.0,71.0,0.3033,32.45,51.41,60.12,1.0913,,,,,,6.0
Jaipur,LSTM,B,29584.0,6322.0,71.0,0.171,38.03,56.09,52.99,1.1062,,,,,,24.0
Jodhpur,LSTM,B,30305.0,6476.0,71.0,-1.6234,104.31,147.34,109.83,1.1583,,,,,,1.0
Jodhpur,LSTM,B,30302.0,6475.0,71.0,-3.2363,132.47,187.19,45.57,1.1602,,,,,,6.0
Jodhpur,LSTM,B,30289.0,6473.0,71.0,-2.991,148.59,181.57,48.64,1.1671,,,,,,24.0
Mumbai,LSTM,B,38058.0,8138.0,72.0,0.5101,25.36,43.42,133.22,1.3716,,,,,,1.0
Mumbai,LSTM,B,38055.0,8137.0,72.0,0.3237,29.06,51.02,47.91,1.3302,,,,,,6.0
Mumbai,LSTM,B,38042.0,8134.0,72.0,0.1667,33.95,56.65,47.89,1.3245,,,,,,24.0
Mumbai_suburbs,LSTM,B,15112.0,3221.0,71.0,0.7201,17.42,25.72,35.4,0.7567,,,,,,1.0
Mumbai_suburbs,LSTM,B,15109.0,3220.0,71.0,0.65,19.94,28.76,35.61,0.78,,,,,,6.0
Mumbai_suburbs,LSTM,B,15096.0,3217.0,71.0,0.571,23.05,31.83,26.24,0.7646,,,,,,24.0
Nagpur,LSTM,B,56465.0,12082.0,70.0,0.796,20.0,29.67,220.7,1.7378,,,,,,1.0
Nagpur,LSTM,B,56461.0,12081.0,70.0,0.6899,25.55,36.59,102.47,1.7528,,,,,,6.0
Nagpur,LSTM,B,56449.0,12078.0,70.0,0.5953,29.83,41.79,69.35,1.7576,,,,,,24.0
Pune,LSTM,B,49301.0,10547.0,64.0,0.0031,55.38,82.11,54.5,1.569,,,,,,1.0
Pune,LSTM,B,49298.0,10545.0,64.0,-0.2515,70.67,92.01,54.74,1.5616,,,,,,6.0
Pune,LSTM,B,49285.0,10543.0,64.0,0.0078,55.42,81.94,157.57,1.5824,,,,,,24.0
Singrauli,LSTM,B,48629.0,10403.0,64.0,0.5853,47.1,69.42,154.68,1.5713,,,,,,1.0
Singrauli,LSTM,B,48626.0,10401.0,64.0,0.4402,57.77,80.65,98.82,1.5726,,,,,,6.0
Singrauli,LSTM,B,48613.0,10399.0,64.0,0.4121,58.95,82.67,98.74,1.5672,,,,,,24.0
Surat,LSTM,B,18278.0,3899.0,58.0,0.3205,42.18,73.73,41.66,0.8478,,,,,,1.0
Surat,LSTM,B,18274.0,3898.0,58.0,0.2255,45.79,78.72,48.15,0.8631,,,,,,6.0
Surat,LSTM,B,18262.0,3895.0,58.0,0.1871,55.54,80.59,35.27,0.838,,,,,,24.0
Thane,LSTM,B,14339.0,3055.0,71.0,0.692,18.38,26.51,31.99,0.744,,,,,,1.0
Thane,LSTM,B,14336.0,3054.0,71.0,0.6252,19.97,29.24,21.27,0.7261,,,,,,6.0
Thane,LSTM,B,14323.0,3052.0,71.0,0.4788,25.69,34.48,17.59,0.7304,,,,,,24.0
Vapi,LSTM,B,40774.0,8720.0,70.0,0.4518,39.92,56.69,91.01,1.352,,,,,,1.0
Vapi,LSTM,B,40771.0,8719.0,70.0,0.3742,44.01,60.57,54.57,1.3837,,,,,,6.0
Vapi,LSTM,B,40758.0,8716.0,70.0,0.1747,51.79,69.57,64.08,1.3727,,,,,,24.0
bhopal,LSTM,B,30435.0,6504.0,72.0,0.6789,28.63,44.61,62.56,1.1594,,,,,,1.0
bhopal,LSTM,B,30432.0,6503.0,72.0,0.6328,31.25,47.71,62.74,1.1333,,,,,,6.0
bhopal,LSTM,B,30419.0,6501.0,72.0,0.5799,35.65,51.01,37.44,1.1296,,,,,,24.0
vishakhapattanam,LSTM,B,24205.0,5169.0,72.0,0.6868,30.04,47.96,72.29,0.9862,,,,,,1.0
vishakhapattanam,LSTM,B,24201.0,5168.0,72.0,0.5926,35.89,54.7,44.37,0.9868,,,,,,6.0
vishakhapattanam,LSTM,B,24189.0,5165.0,72.0,0.4916,40.36,61.12,35.94,0.9695,,,,,,24.0
Ahmedabad,BiLSTM,B,19740.0,4212.0,70.0,0.6166,32.15,48.29,107.9,1.744,,,,,,1.0
Ahmedabad,BiLSTM,B,19737.0,4211.0,70.0,0.57,35.31,51.14,75.0,1.706,,,,,,6.0
Ahmedabad,BiLSTM,B,19724.0,4209.0,70.0,0.5272,36.36,53.64,84.9,1.66,,,,,,24.0
Chennai,BiLSTM,B,30857.0,6594.0,71.0,0.2927,17.93,29.08,178.0,2.177,,,,,,1.0
Chennai,BiLSTM,B,30853.0,6594.0,71.0,0.1571,19.46,31.75,147.0,2.214,,,,,,6.0
Chennai,BiLSTM,B,30841.0,6591.0,71.0,0.0691,18.4,33.37,133.6,2.107,,,,,,24.0
Delhi_NCR,BiLSTM,B,54368.0,11632.0,72.0,0.8601,33.95,47.03,332.6,3.03,,,,,,1.0
Delhi_NCR,BiLSTM,B,54364.0,11632.0,72.0,0.7683,45.53,60.54,234.2,2.998,,,,,,6.0
Delhi_NCR,BiLSTM,B,54352.0,11628.0,72.0,0.7066,49.09,68.12,144.9,3.146,,,,,,24.0
GandhiNagar,BiLSTM,B,41017.0,8772.0,70.0,0.5622,18.04,27.47,325.3,2.578,,,,,,1.0
GandhiNagar,BiLSTM,B,41014.0,8771.0,70.0,0.3764,22.78,32.79,218.3,2.58,,,,,,6.0
GandhiNagar,BiLSTM,B,41001.0,8768.0,70.0,0.3241,24.2,34.14,140.8,2.158,,,,,,24.0
Hyderabad,BiLSTM,B,76970.0,16476.0,72.0,0.4777,20.41,27.24,516.5,4.255,,,,,,1.0
Hyderabad,BiLSTM,B,76966.0,16475.0,72.0,0.4029,22.5,29.13,240.7,4.175,,,,,,6.0
Hyderabad,BiLSTM,B,76954.0,16472.0,72.0,0.3097,24.71,31.32,325.4,4.032,,,,,,24.0
Indore,BiLSTM,B,30519.0,6522.0,72.0,0.7021,23.76,38.22,181.1,2.132,,,,,,1.0
Indore,BiLSTM,B,30516.0,6521.0,72.0,0.5263,29.72,48.2,99.4,2.169,,,,,,6.0
Indore,BiLSTM,B,30503.0,6519.0,72.0,0.4956,31.55,49.74,108.0,2.09,,,,,,24.0
Jaipur,BiLSTM,B,29600.0,6325.0,71.0,0.486,28.43,44.16,180.7,2.078,,,,,,1.0
Jaipur,BiLSTM,B,29597.0,6324.0,71.0,0.2968,33.13,51.65,181.6,2.039,,,,,,6.0
Jaipur,BiLSTM,B,29584.0,6322.0,71.0,0.1669,37.96,56.23,131.9,2.164,,,,,,24.0
Jodhpur,BiLSTM,B,30305.0,6476.0,71.0,-3.1787,144.17,185.95,211.5,2.172,,,,,,1.0
Jodhpur,BiLSTM,B,30302.0,6475.0,71.0,-1.9181,119.98,155.36,106.2,2.183,,,,,,6.0
Jodhpur,BiLSTM,B,30289.0,6473.0,71.0,-2.7018,126.06,174.87,117.6,2.088,,,,,,24.0
Mumbai,BiLSTM,B,38058.0,8138.0,72.0,0.509,24.06,43.47,225.2,2.449,,,,,,1.0
Mumbai,BiLSTM,B,38055.0,8137.0,72.0,0.3005,30.37,51.89,152.1,2.476,,,,,,6.0
Mumbai,BiLSTM,B,38042.0,8134.0,72.0,0.2044,32.59,55.35,130.3,2.398,,,,,,24.0
Mumbai_suburbs,BiLSTM,B,15112.0,3221.0,71.0,0.7315,16.95,25.2,96.3,1.481,,,,,,1.0
Mumbai_suburbs,BiLSTM,B,15109.0,3220.0,71.0,0.6478,20.32,28.85,67.1,1.507,,,,,,6.0
Mumbai_suburbs,BiLSTM,B,15096.0,3217.0,71.0,0.5059,25.04,34.16,72.7,1.548,,,,,,24.0
Nagpur,BiLSTM,B,56465.0,12082.0,70.0,0.7859,20.13,30.4,387.5,3.126,,,,,,1.0
Nagpur,BiLSTM,B,56461.0,12081.0,70.0,0.6868,25.59,36.77,210.4,3.157,,,,,,6.0
Nagpur,BiLSTM,B,56449.0,12078.0,70.0,0.6232,28.62,40.33,220.8,3.296,,,,,,24.0
Pune,BiLSTM,B,49301.0,10547.0,64.0,-0.076,60.88,85.31,452.7,2.892,,,,,,1.0
Pune,BiLSTM,B,49298.0,10545.0,64.0,-0.0652,60.67,84.89,259.6,2.86,,,,,,6.0
Pune,BiLSTM,B,49285.0,10543.0,64.0,-0.201,65.09,90.14,302.3,2.857,,,,,,24.0
Singrauli,BiLSTM,B,48629.0,10403.0,64.0,0.5996,46.19,68.21,363.5,2.824,,,,,,1.0
Singrauli,BiLSTM,B,48626.0,10401.0,64.0,0.466,56.4,78.78,238.6,2.869,,,,,,6.0
Singrauli,BiLSTM,B,48613.0,10399.0,64.0,0.4024,61.07,83.34,205.9,2.83,,,,,,24.0
Surat,BiLSTM,B,18278.0,3899.0,58.0,0.2884,40.08,75.45,248.2,1.617,,,,,,1.0
Surat,BiLSTM,B,18274.0,3898.0,58.0,0.2258,44.78,78.7,121.4,1.601,,,,,,6.0
Surat,BiLSTM,B,18262.0,3895.0,58.0,0.1344,58.73,83.16,70.7,1.566,,,,,,24.0
Thane,BiLSTM,B,14339.0,3055.0,71.0,0.6722,19.06,27.35,50.0,1.43,,,,,,1.0
Thane,BiLSTM,B,14336.0,3054.0,71.0,0.6193,20.87,29.48,107.3,1.447,,,,,,6.0
Thane,BiLSTM,B,14323.0,3052.0,71.0,0.5298,23.71,32.75,89.4,1.501,,,,,,24.0
Vapi,BiLSTM,B,40774.0,8720.0,70.0,0.4508,39.86,56.74,262.7,2.522,,,,,,1.0
Vapi,BiLSTM,B,40771.0,8719.0,70.0,0.3889,43.16,59.86,172.2,2.529,,,,,,6.0
Vapi,BiLSTM,B,40758.0,8716.0,70.0,0.2086,50.57,68.12,150.4,2.501,,,,,,24.0
bhopal,BiLSTM,B,30435.0,6504.0,72.0,0.7051,28.37,42.75,125.4,2.176,,,,,,1.0
bhopal,BiLSTM,B,30432.0,6503.0,72.0,0.6242,31.65,48.26,126.2,2.109,,,,,,6.0
bhopal,BiLSTM,B,30419.0,6501.0,72.0,0.5938,35.19,50.16,116.7,2.199,,,,,,24.0
vishakhapattanam,BiLSTM,B,24205.0,5169.0,72.0,0.6975,29.52,47.13,143.6,1.947,,,,,,1.0
vishakhapattanam,BiLSTM,B,24201.0,5168.0,72.0,0.6183,35.33,52.95,89.2,1.904,,,,,,6.0
vishakhapattanam,BiLSTM,B,24189.0,5165.0,72.0,0.5153,39.48,59.68,85.8,1.832,,,,,,24.0
Ahmedabad,CNN-BiLSTM,B,19740.0,4212.0,70.0,0.6029,32.09,49.14,30.0,0.984,,,,,,1.0
Ahmedabad,CNN-BiLSTM,B,19737.0,4211.0,70.0,0.5836,34.0,50.33,31.7,0.932,,,,,,6.0
Ahmedabad,CNN-BiLSTM,B,19724.0,4209.0,70.0,0.4388,39.03,58.44,25.5,0.957,,,,,,24.0
Chennai,CNN-BiLSTM,B,30857.0,6594.0,71.0,0.373,15.74,27.38,69.8,1.194,,,,,,1.0
Chennai,CNN-BiLSTM,B,30853.0,6594.0,71.0,0.1411,18.63,32.05,39.2,1.245,,,,,,6.0
Chennai,CNN-BiLSTM,B,30841.0,6591.0,71.0,0.046,17.42,33.78,40.9,1.191,,,,,,24.0
Delhi_NCR,CNN-BiLSTM,B,54368.0,11632.0,72.0,0.8603,33.61,47.01,86.0,1.702,,,,,,1.0
Delhi_NCR,CNN-BiLSTM,B,54364.0,11632.0,72.0,0.7784,43.87,59.2,96.1,1.67,,,,,,6.0
Delhi_NCR,CNN-BiLSTM,B,54352.0,11628.0,72.0,0.7084,49.78,67.91,61.1,1.688,,,,,,24.0
GandhiNagar,CNN-BiLSTM,B,41017.0,8772.0,70.0,0.5648,17.67,27.4,80.7,1.402,,,,,,1.0
GandhiNagar,CNN-BiLSTM,B,41014.0,8771.0,70.0,0.3628,22.91,33.15,75.3,1.409,,,,,,6.0
GandhiNagar,CNN-BiLSTM,B,41001.0,8768.0,70.0,0.308,24.47,34.55,48.9,1.172,,,,,,24.0
Hyderabad,CNN-BiLSTM,B,76970.0,16476.0,72.0,0.4755,20.53,27.3,136.9,2.247,,,,,,1.0
Hyderabad,CNN-BiLSTM,B,76966.0,16475.0,72.0,0.4551,21.22,27.83,158.4,2.189,,,,,,6.0
Hyderabad,CNN-BiLSTM,B,76954.0,16472.0,72.0,0.3635,23.25,30.08,143.1,2.204,,,,,,24.0
Indore,CNN-BiLSTM,B,30519.0,6522.0,72.0,0.6718,24.71,40.11,59.3,1.19,,,,,,1.0
Indore,CNN-BiLSTM,B,30516.0,6521.0,72.0,0.5338,28.71,47.82,45.8,1.222,,,,,,6.0
Indore,CNN-BiLSTM,B,30503.0,6519.0,72.0,0.5145,31.26,48.8,57.2,1.213,,,,,,24.0
Jaipur,CNN-BiLSTM,B,29600.0,6325.0,71.0,0.4348,30.73,46.3,78.5,1.189,,,,,,1.0
Jaipur,CNN-BiLSTM,B,29597.0,6324.0,71.0,0.2912,32.9,51.86,46.8,1.215,,,,,,6.0
Jaipur,CNN-BiLSTM,B,29584.0,6322.0,71.0,0.1298,38.78,57.46,41.7,1.213,,,,,,24.0
Jodhpur,CNN-BiLSTM,B,30305.0,6476.0,71.0,-1.276,102.94,137.24,52.7,1.21,,,,,,1.0
Jodhpur,CNN-BiLSTM,B,30302.0,6475.0,71.0,-19.1984,355.85,408.75,40.9,1.218,,,,,,6.0
Jodhpur,CNN-BiLSTM,B,30289.0,6473.0,71.0,-1.9629,127.84,156.45,40.8,1.178,,,,,,24.0
Mumbai,CNN-BiLSTM,B,38058.0,8138.0,72.0,0.4846,26.98,44.54,72.2,1.372,,,,,,1.0
Mumbai,CNN-BiLSTM,B,38055.0,8137.0,72.0,0.3195,28.56,51.18,51.5,1.355,,,,,,6.0
Mumbai,CNN-BiLSTM,B,38042.0,8134.0,72.0,0.1998,32.89,55.51,45.3,1.388,,,,,,24.0
Mumbai_suburbs,CNN-BiLSTM,B,15112.0,3221.0,71.0,0.6797,18.47,27.52,38.9,0.864,,,,,,1.0
Mumbai_suburbs,CNN-BiLSTM,B,15109.0,3220.0,71.0,0.6483,20.07,28.83,33.8,0.909,,,,,,6.0
Mumbai_suburbs,CNN-BiLSTM,B,15096.0,3217.0,71.0,0.4696,25.72,35.39,25.8,0.862,,,,,,24.0
Nagpur,CNN-BiLSTM,B,56465.0,12082.0,70.0,0.798,19.63,29.53,137.2,1.763,,,,,,1.0
Nagpur,CNN-BiLSTM,B,56461.0,12081.0,70.0,0.6576,26.21,38.44,97.8,1.781,,,,,,6.0
Nagpur,CNN-BiLSTM,B,56449.0,12078.0,70.0,0.6239,28.44,40.29,79.0,1.79,,,,,,24.0
Pune,CNN-BiLSTM,B,49301.0,10547.0,64.0,-0.3214,69.26,94.54,110.6,1.597,,,,,,1.0
Pune,CNN-BiLSTM,B,49298.0,10545.0,64.0,-4.6833,142.48,196.08,73.0,1.66,,,,,,6.0
Pune,CNN-BiLSTM,B,49285.0,10543.0,64.0,-18.2229,280.83,360.64,52.7,1.622,,,,,,24.0
Singrauli,CNN-BiLSTM,B,48629.0,10403.0,64.0,0.6034,46.05,67.88,121.8,1.614,,,,,,1.0
Singrauli,CNN-BiLSTM,B,48626.0,10401.0,64.0,0.4513,56.73,79.85,68.5,1.657,,,,,,6.0
Singrauli,CNN-BiLSTM,B,48613.0,10399.0,64.0,0.4269,58.0,81.62,73.6,1.582,,,,,,24.0
Surat,CNN-BiLSTM,B,18278.0,3899.0,58.0,0.2649,42.5,76.68,38.4,0.945,,,,,,1.0
Surat,CNN-BiLSTM,B,18274.0,3898.0,58.0,0.2946,43.85,75.13,30.2,0.935,,,,,,6.0
Surat,CNN-BiLSTM,B,18262.0,3895.0,58.0,0.1599,52.99,81.93,34.4,0.921,,,,,,24.0
Thane,CNN-BiLSTM,B,14339.0,3055.0,71.0,0.7221,16.93,25.19,41.8,0.842,,,,,,1.0
Thane,CNN-BiLSTM,B,14336.0,3054.0,71.0,0.6086,20.77,29.89,34.3,0.854,,,,,,6.0
Thane,CNN-BiLSTM,B,14323.0,3052.0,71.0,0.5496,22.22,32.05,26.4,0.876,,,,,,24.0
Vapi,CNN-BiLSTM,B,40774.0,8720.0,70.0,0.3908,42.14,59.76,72.7,1.435,,,,,,1.0
Vapi,CNN-BiLSTM,B,40771.0,8719.0,70.0,0.3749,44.16,60.54,50.4,1.46,,,,,,6.0
Vapi,CNN-BiLSTM,B,40758.0,8716.0,70.0,0.1589,51.72,70.23,54.3,1.422,,,,,,24.0
bhopal,CNN-BiLSTM,B,30435.0,6504.0,72.0,0.7268,27.14,41.15,106.2,1.23,,,,,,1.0
bhopal,CNN-BiLSTM,B,30432.0,6503.0,72.0,0.654,30.28,46.31,51.5,1.202,,,,,,6.0
bhopal,CNN-BiLSTM,B,30419.0,6501.0,72.0,0.618,33.75,48.65,44.6,1.262,,,,,,24.0
vishakhapattanam,CNN-BiLSTM,B,24205.0,5169.0,72.0,0.6888,30.3,47.81,63.0,1.057,,,,,,1.0
vishakhapattanam,CNN-BiLSTM,B,24201.0,5168.0,72.0,0.5975,35.32,54.37,44.7,1.103,,,,,,6.0
vishakhapattanam,CNN-BiLSTM,B,24189.0,5165.0,72.0,0.4622,41.23,62.87,31.0,1.105,,,,,,24.0
